Reference Date,Region,Homeless adults,Male,Female,Ages 18-24,Ages 25-44,Ages 45-64,Ages 65+,PEA,STA,TEA,Other,Total Families,"(of which) single
parent families",Total Adults,Total dependants
Jan-16,Dublin,2678,1490,1188,462,1678,498,40,1405,1240,72,0,769,496,1042,1570
Jan-16,Mid-East,179,119,60,23,109,36,11,51,81,47,0,21,8,34,53
Jan-16,Midlands,43,25,18,11,19,13,0,7,0,36,0,13,12,14,25
Jan-16,Mid-West,221,152,69,27,128,55,11,11,196,11,3,14,10,18,31
Jan-16,North-East,57,42,15,11,30,13,3,25,32,2,0,0,0,0,0
Jan-16,North-West,46,33,13,8,23,15,0,4,5,21,16,2,2,2,6
Jan-16,South-East,260,197,63,50,130,71,9,78,178,0,4,12,7,17,24
Jan-16,South-West,267,181,86,38,160,65,4,76,0,193,0,34,28,40,77
Jan-16,West,134,90,44,10,74,47,3,28,106,0,0,19,14,24,44
Feb-16,Dublin,2692,1482,1210,465,1685,501,41,1411,1224,71,0,790,517,1063,1616
Feb-16,Mid-East,187,122,65,24,112,40,11,54,90,43,0,21,8,34,54
Feb-16,Midlands,51,28,23,8,26,16,1,12,0,39,0,13,11,15,25
Feb-16,Mid-West,220,148,72,25,133,51,11,14,192,11,3,16,13,19,36
Feb-16,North-East,77,56,21,15,40,17,5,43,34,2,0,11,4,18,15
Feb-16,North-West,43,30,13,5,21,17,0,1,6,23,13,2,2,2,4
Feb-16,South-East,260,193,67,55,125,71,9,80,175,0,5,12,7,17,21
Feb-16,South-West,260,181,79,31,155,71,3,73,0,189,0,30,24,36,67
Feb-16,West,140,99,41,8,77,51,4,31,110,0,0,17,14,20,43
Mar-16,Dublin,2750,1510,1240,461,1733,513,43,1469,1224,71,0,839,546,1132,1723
Mar-16,Mid-East,202,132,70,30,117,43,12,74,81,47,0,24,8,40,69
Mar-16,Midlands,55,29,26,11,26,18,0,16,0,39,0,16,13,19,32
Mar-16,Mid-West,212,144,68,31,126,45,10,11,187,11,3,13,12,14,28
Mar-16,North-East,73,53,20,16,37,15,5,27,32,14,0,1,0,2,1
Mar-16,North-West,40,31,9,3,22,14,1,1,11,17,12,2,2,2,5
Mar-16,South-East,259,186,73,60,120,70,9,79,172,0,8,14,7,21,25
Mar-16,South-West,239,169,70,20,144,72,3,52,0,189,0,29,25,33,64
Mar-16,West,139,98,41,10,75,50,4,39,104,0,0,17,12,22,47
Apr-16,Dublin,2806,1535,1271,467,1777,523,39,1512,1236,74,0,888,588,1188,1786
Apr-16,Mid-East,210,135,75,29,125,46,10,92,71,47,0,31,13,49,86
Apr-16,Midlands,63,32,31,17,28,18,0,22,0,41,0,23,22,24,39
Apr-16,Mid-West,213,142,71,29,121,52,11,11,188,11,3,20,15,25,48
Apr-16,North-East,74,53,21,16,36,17,5,26,32,16,0,2,0,4,2
Apr-16,North-West,41,33,8,5,23,13,0,1,11,17,12,2,2,2,5
Apr-16,South-East,275,194,81,60,135,71,9,87,176,1,11,16,9,23,27
Apr-16,South-West,247,162,85,26,151,67,3,52,200,0,0,33,30,36,75
Apr-16,West,139,95,44,15,74,47,3,42,97,0,0,22,16,28,53
May-16,Dublin,2767,1486,1281,478,1720,531,38,1514,1197,65,0,913,608,1218,1847
May-16,Mid-East,197,126,71,25,119,43,10,78,68,51,0,27,10,44,76
May-16,Midlands,46,24,22,6,23,16,1,8,0,38,0,9,8,10,17
May-16,Mid-West,211,140,71,28,118,56,9,15,184,12,0,19,16,22,39
May-16,North-East,81,55,26,13,47,17,4,42,36,3,0,6,4,8,7
May-16,North-West,39,27,12,1,22,16,0,0,27,0,12,2,2,2,5
May-16,South-East,270,186,84,63,132,65,10,87,171,1,11,23,12,34,37
May-16,South-West,245,164,81,19,146,74,6,46,201,0,0,33,29,37,87
May-16,West,137,95,42,13,75,47,2,36,101,0,1,22,16,28,62
Jun-16,Dublin,2871,1547,1324,492,1790,547,42,1540,1278,64,0,939,608,1270,1894
Jun-16,Mid-East,197,127,70,27,120,41,9,70,73,54,0,28,14,42,74
Jun-16,Midlands,57,28,29,12,33,11,1,17,0,40,0,14,11,17,34
Jun-16,Mid-West,228,153,75,24,131,64,9,17,199,12,0,11,7,15,19
Jun-16,North-East,79,50,29,15,45,16,3,39,37,3,0,6,3,9,9
Jun-16,North-West,45,32,13,3,24,17,1,1,26,5,13,2,2,2,5
Jun-16,South-East,271,185,86,67,126,68,10,85,172,3,11,21,12,30,33
Jun-16,South-West,246,164,82,29,142,71,4,59,193,0,0,34,29,39,83
Jun-16,West,158,106,52,27,77,51,3,49,109,0,0,23,13,33,55
Jul-16,Dublin,2922,1586,1336,487,1827,568,40,1585,1289,65,0,993,655,1331,2020
Jul-16,Mid-East,202,125,77,29,118,47,8,73,83,46,0,21,13,29,73
Jul-16,Midlands,49,23,26,11,31,5,2,16,0,33,0,18,16,20,33
Jul-16,Mid-West,228,155,73,22,139,58,9,17,199,12,0,14,8,20,34
Jul-16,North-East,81,50,31,13,48,18,2,39,41,1,0,6,4,8,12
Jul-16,North-West,30,28,2,2,14,14,0,0,22,8,0,2,2,2,4
Jul-16,South-East,278,188,90,58,136,69,15,88,175,4,11,24,13,35,39
Jul-16,South-West,235,167,68,21,137,72,5,46,196,0,0,25,22,28,64
Jul-16,West,152,100,52,24,80,46,2,56,98,0,0,27,17,37,69
Aug-16,Dublin,2950,1587,1363,497,1838,571,44,1599,1304,69,0,998,658,1338,2012
Aug-16,Mid-East,201,125,76,30,119,43,9,88,71,42,0,27,12,42,67
Aug-16,Midlands,52,29,23,8,35,8,1,15,0,37,0,16,12,20,34
Aug-16,Mid-West,240,161,79,27,146,58,9,19,209,12,0,22,16,28,48
Aug-16,North-East,80,49,31,11,49,17,3,42,37,1,0,6,4,8,12
Aug-16,North-West,35,25,10,4,18,13,0,0,14,10,11,2,2,2,5
Aug-16,South-East,287,190,97,58,146,67,16,98,174,4,11,25,17,33,44
Aug-16,South-West,244,173,71,24,149,67,4,56,192,0,0,25,19,31,71
Aug-16,West,159,106,53,31,78,48,2,56,101,0,3,30,19,41,70
Sep-16,Dublin,2988,1612,1376,501,1864,583,40,1624,1308,71,0,1014,671,1357,2065
Sep-16,Mid-East,205,127,78,28,118,50,9,86,80,39,0,27,12,42,69
Sep-16,Midlands,55,29,26,13,35,7,0,16,0,39,0,16,12,20,37
Sep-16,Mid-West,237,151,86,29,140,59,9,27,198,12,0,33,26,40,67
Sep-16,North-East,62,37,25,7,40,14,1,28,33,1,0,9,8,10,12
Sep-16,North-West,38,26,12,5,19,14,0,2,6,20,10,3,3,3,6
Sep-16,South-East,283,193,90,62,145,63,13,102,167,3,11,21,13,29,38
Sep-16,South-West,249,167,82,32,149,64,4,57,193,0,0,30,21,39,80
Sep-16,West,166,111,55,28,86,50,2,62,101,0,4,20,12,28,52
Oct-16,Dublin,3036,1633,1403,510,1909,580,37,1699,1311,78,0,1026,676,1376,2110
Oct-16,Mid-East,206,127,79,28,119,50,9,86,80,40,0,27,11,43,71
Oct-16,Midlands,54,28,26,9,34,11,0,15,0,39,0,13,11,15,31
Oct-16,Mid-West,235,149,86,27,140,60,8,32,190,13,0,22,16,28,45
Oct-16,North-East,84,56,28,15,48,20,1,38,45,1,0,9,6,12,15
Oct-16,North-West,43,32,11,10,18,15,0,4,11,17,12,2,2,2,3
Oct-16,South-East,282,191,91,67,142,60,13,102,166,3,11,21,15,27,39
Oct-16,South-West,271,184,87,36,161,68,6,81,192,0,0,36,22,50,98
Oct-16,West,166,115,51,31,85,48,2,61,100,0,5,22,14,30,58
Nov-16,Dublin,3024,1612,1412,511,1888,586,39,1661,1301,76,0,1023,678,1368,2110
Nov-16,Mid-East,208,123,85,28,125,48,7,91,82,35,0,27,12,42,75
Nov-16,Midlands,74,38,36,18,40,15,1,36,0,38,0,22,15,29,50
Nov-16,Mid-West,246,150,96,29,145,65,7,42,191,13,0,33,24,42,79
Nov-16,North-East,116,71,45,26,67,21,2,73,42,1,0,18,4,32,36
Nov-16,North-West,34,24,10,5,14,15,0,2,15,8,9,1,1,1,1
Nov-16,South-East,286,196,90,61,151,61,13,98,173,4,11,21,15,27,39
Nov-16,South-West,287,197,90,29,178,74,6,100,190,0,0,40,27,53,104
Nov-16,West,161,114,47,22,82,56,1,64,97,0,0,20,12,28,55
Dec-16,Dublin,3162,1713,1449,533,1987,599,43,1755,1394,68,0,1028,674,1382,2096
Dec-16,Mid-East,210,123,87,28,127,48,7,92,84,34,0,28,13,43,75
