Reference Date,Region,Counties ,Homesslessness by county ,Latitude ,Longitude
Jan-16,Dublin,Dublin,2678,53.3497,-6.2603
Jan-16,Mid-East,Kildare,94,53.2158,-6.6669
Jan-16,Mid-East,Meath,45,53.555,-6.7917
Jan-16,Mid-East,Wicklow,40,52.9779,-6.033
Jan-16,Midlands,Laois,8,53.0309,-7.3008
Jan-16,Midlands,Longford,8,53.727,-7.7998
Jan-16,Midlands,Offaly,14,53.2667,-7.5
Jan-16,Midlands,Westmeath,13,53.5333,-7.35
Jan-16,Midlands,Clare,13,52.8463,-8.9807
Jan-16,Midlands,Limerick,208,52.6653,-8.6238
Jan-16,North-East,Louth,54,53.7139,-6.3503
Jan-16,North-East,Monaghan,2,54.2479,-6.9708
Jan-16,North-East,Cavan,1,53.9908,-7.3606
Jan-16,North-West,Donegal,27,54.8356,-7.4779
Jan-16,North-West,Leitrim,1,54.8356,-7.4779
Jan-16,North-West,Sligo,18,54.2667,-8.4833
Jan-16,South-East,Carlow,16,52.8306,-6.9317
Jan-16,South-East,Kilkenny,60,52.6477,-7.2561
Jan-16,South-East,Tipperary,55,52.355,-7.7039
Jan-16,South-East,Waterford,96,52.2583,-7.119
Jan-16,South-East,Wexford,33,52.3342,-6.4575
Jan-16,South-West,Cork,231,51.9,-8.4731
Jan-16,South-West,Kerry,36,52.2675,-9.6962
Jan-16,West,Galway,125,53.2729,-9.0418
Jan-16,South-West,Mayo,5,53.85,-9.3
Jan-16,South-West,Roscommon,4,53.6333,-8.1833
Feb-16,Dublin,Dublin,2692,53.3497,-6.2603
Feb-16,Mid-East,Kildare,98,53.2158,-6.6669
Feb-16,Mid-East,Meath,50,53.555,-6.7917
Feb-16,Mid-East,Wicklow,39,52.9779,-6.033
Feb-16,Midlands,Laois,6,53.0309,-7.3008
Feb-16,Midlands,Longford,11,53.727,-7.7998
Feb-16,Midlands,Offaly,15,53.2667,-7.5
Feb-16,Midlands,Westmeath,19,53.5333,-7.35
Feb-16,Midlands,Clare,13,52.8463,-8.9807
Feb-16,Midlands,Limerick,207,52.6653,-8.6238
Feb-16,North-East,Louth,69,53.7139,-6.3503
Feb-16,North-East,Monaghan,3,54.2479,-6.9708
Feb-16,North-East,Cavan,5,53.9908,-7.3606
Feb-16,North-West,Donegal,22,54.8356,-7.4779
Feb-16,North-West,Leitrim,0,54.8356,-7.4779
Feb-16,North-West,Sligo,21,54.2667,-8.4833
Feb-16,South-East,Carlow,13,52.8306,-6.9317
Feb-16,South-East,Kilkenny,58,52.6477,-7.2561
Feb-16,South-East,Tipperary,54,52.355,-7.7039
Feb-16,South-East,Waterford,98,52.2583,-7.119
Feb-16,South-East,Wexford,37,52.3342,-6.4575
Feb-16,South-West,Cork,229,51.9,-8.4731
Feb-16,South-West,Kerry,31,52.2675,-9.6962
Feb-16,West,Galway,130,53.2729,-9.0418
Feb-16,West,Mayo,5,53.85,-9.3
Feb-16,West,Roscommon,5,53.6333,-8.1833
Mar-16,Dublin,Dublin,2750,53.3497,-6.2603
Mar-16,Mid-East,Kildare,110,53.2158,-6.6669
Mar-16,Mid-East,Meath,53,53.555,-6.7917
Mar-16,Mid-East,Wicklow,39,52.9779,-6.033
Mar-16,Midlands,Laois,11,53.0309,-7.3008
Mar-16,Midlands,Longford,12,53.727,-7.7998
Mar-16,Midlands,Offaly,14,53.2667,-7.5
Mar-16,Midlands,Westmeath,18,53.5333,-7.35
Mar-16,Midlands,Clare,19,52.8463,-8.9807
Mar-16,Midlands,Limerick,193,52.6653,-8.6238
Mar-16,North-East,Louth,65,53.7139,-6.3503
Mar-16,North-East,Monaghan,5,54.2479,-6.9708
Mar-16,North-East,Cavan,3,53.9908,-7.3606
Mar-16,North-West,Donegal,19,54.8356,-7.4779
Mar-16,North-West,Leitrim,0,54.8356,-7.4779
Mar-16,North-West,Sligo,21,54.2667,-8.4833
