Reference Date,Base Jan 2005 = 100,% over 1 month,% over 3 month,% over 12 month
Jan-16,83.2,0.8,0.4,7.6
Feb-16,82.7,-0.6,0.1,7.4
Mar-16,83,0.4,0.6,7.4
Apr-16,83.5,0.6,0.4,7.2
May-16,83.7,0.2,1.2,6.2
Jun-16,84.5,1,1.8,5.5
Jul-16,86.4,2.2,3.5,7.1
Aug-16,87.6,1.4,4.7,7.2
Sep-16,88.6,1.1,4.9,8
Oct-16,89.1,0.6,3.1,7.5
Nov-16,90.2,1.2,3,9.2
Dec-16,89.9,-0.3,1.5,9
Jan-17,90.5,0.7,1.6,8.8
Feb-17,90.7,0.2,0.6,9.7
Mar-17,91.1,0.4,1.3,9.8
Apr-17,91.4,0.3,1,9.5
May-17,92.8,1.5,2.3,10.9
Jun-17,94.1,1.4,3.3,11.4
Jul-17,96.4,2.4,5.5,11.6
Aug-17,97.9,1.6,5.5,11.8
Sep-17,99.2,1.3,5.4,12
Oct-17,99.5,0.3,3.2,11.7
Nov-17,100.3,0.8,2.5,11.2
Dec-17,100.8,0.5,1.6,12.1
Jan-18,101.2,0.4,1.7,11.8
Feb-18,102,0.8,1.7,12.5
Mar-18,102.6,0.6,1.8,12.6
Apr-18,103.6,1,2.4,13.3
May-18,104.3,0.7,2.3,12.4
Jun-18,105.3,1,2.6,11.9
Jul-18,106,0.7,2.3,10
Aug-18,106.6,0.6,2.2,8.9
Sep-18,107.6,0.9,2.2,8.5
Oct-18,107.8,0.2,1.7,8.3
Nov-18,107.5,-0.3,0.8,7.2
Dec-18,107.1,-0.4,-0.5,6.3
Jan-19,106.5,-0.6,-1.2,5.2
Feb-19,106.4,-0.1,-1,4.3
Mar-19,106.5,0.1,-0.6,3.8
Apr-19,106.7,0.2,0.2,3
May-19,107,0.3,0.6,2.6
Jun-19,107.4,0.4,0.8,2
Jul-19,108.3,0.8,1.5,2.2
Aug-19,108.6,0.3,1.5,1.9
Sep-19,108.8,0.2,1.3,1.1
Oct-19,108.9,0.1,0.6,1
Nov-19,108.7,-0.2,0.1,1.1
Dec-19,107.5,-1.1,-1.2,0.3
Jan-20,107.6,0.1,-1.2,1
Feb-20,107.5,-0.1,-1.1,1
Mar-20,107.5,0,0,0.9
Apr-20,107.4,-0.1,-0.2,0.7
May-20,107.4,-0.1,-0.1,0.3
Jun-20,107.4,0.1,-0.1,0
Jul-20,107.6,0.2,0.2,-0.7
Aug-20,107.6,0,0.3,-0.9
Sep-20,107.9,0.2,0.4,-0.8
Oct-20,108.4,0.4,0.7,-0.5
Nov-20,109.1,0.7,1.3,0.4
Dec-20,109.9,0.7,1.8,2.2
Jan-21,110.3,0.4,1.8,2.5
Feb-21,110.7,0.4,1.5,3
Mar-21,111.3,0.5,1.3,3.5
Apr-21,112.3,0.9,1.8,4.5
May-21,113.2,0.8,2.2,5.4
Jun-21,114.8,1.4,3.2,6.8
Jul-21,116.8,1.7,4,8.5
Aug-21,119.4,2.2,5.5,10.9
Sep-21,121.3,1.6,5.7,12.4
Oct-21,122.8,1.2,5.1,13.3
Nov-21,124.3,1.3,4.1,14
Dec-21,125.5,0.9,3.4,14.2
Jan-22,126.6,0.9,3.1,14.8
Feb-22,127.5,0.7,2.5,15.1
Mar-22,128.2,0.6,2.2,15.2
