Reference Date,Age Group,Unemplyment_thousand,Unemplyment_percentage_rate
Jan-16,15 - 24 years,49.5,18.2
Jan-16,15 - 74 years,208.1,9.1
Jan-16,25 - 74 years,158.6,7.9
Feb-16,15 - 24 years,48.7,17.7
Feb-16,15 - 74 years,204.3,8.9
Feb-16,25 - 74 years,155.6,7.7
Mar-16,15 - 24 years,47.8,17
Mar-16,15 - 74 years,2.8,8.8
Mar-16,25 - 74 years,154.9,7.7
Apr-16,15 - 24 years,49.6,17
Apr-16,15 - 74 years,206.6,8.9
Apr-16,25 - 74 years,157,7.8
May-16,15 - 24 years,49.8,16.8
May-16,15 - 74 years,204.8,8.8
May-16,25 - 74 years,155,7.7
Jun-16,15 - 24 years,49.9,16.6
Jun-16,15 - 74 years,2.5,8.7
Jun-16,25 - 74 years,152.7,7.5
Jul-16,15 - 24 years,49.5,16.5
Jul-16,15 - 74 years,196.9,8.5
Jul-16,25 - 74 years,147.3,7.3
Aug-16,15 - 24 years,49.5,16.6
Aug-16,15 - 74 years,193.6,8.3
Aug-16,25 - 74 years,144.1,7.1
Sep-16,15 - 24 years,48.2,16.3
Sep-16,15 - 74 years,184,7.9
Sep-16,25 - 74 years,135.8,6.7
Oct-16,15 - 24 years,48.7,16.5
Oct-16,15 - 74 years,178.6,7.7
Oct-16,25 - 74 years,129.8,6.4
Nov-16,15 - 24 years,48.1,16.4
Nov-16,15 - 74 years,174.8,7.5
Nov-16,25 - 74 years,126.7,6.2
Dec-16,15 - 24 years,46.5,16
Dec-16,15 - 74 years,173.6,7.5
Dec-16,25 - 74 years,127,6.2
Jan-17,15 - 24 years,41.8,14.6
Jan-17,15 - 74 years,172.4,7.4
Jan-17,25 - 74 years,130.6,6.4
Feb-17,15 - 24 years,40.3,14.1
Feb-17,15 - 74 years,170.1,7.3
Feb-17,25 - 74 years,129.8,6.3
Mar-17,15 - 24 years,39.7,14
Mar-17,15 - 74 years,165.2,7.1
Mar-17,25 - 74 years,125.5,6.1
Apr-17,15 - 24 years,40.4,14.1
Apr-17,15 - 74 years,158.1,6.8
Apr-17,25 - 74 years,117.7,5.8
